Judge,For/Against,State / District,Appointed by,Notable ruling
<b>Alan Albright</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172876725/gov.uscourts.txwd.1172876725.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Bernard Jones II</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",OKWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.okwd.133028/gov.uscourts.okwd.133028.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Brantley Starr</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",TXND,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txnd.411414/gov.uscourts.txnd.411414.9.0.pdf"" target=""_blank"">🔗</a>"
<b>Brett Ludwig</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",WIED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.wied.113566/gov.uscourts.wied.113566.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Brian Buescher</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",NE,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.ned.108616/gov.uscourts.ned.108616.35.0.pdf"" target=""_blank"">🔗</a>"
<b>C.J. Williams</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",IAND,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.iand.69867/gov.uscourts.iand.69867.15.0.pdf"" target=""_blank"">🔗</a>"
<b>Chad Kenney</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.645957/gov.uscourts.paed.645957.5.0.pdf"" target=""_blank"">🔗</a>"
<b>Charles Eskridge III</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",TXSD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2037873/gov.uscourts.txsd.2037873.10.0.pdf"" target=""_blank"">🔗</a>"
<b>Christy Wiegand</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://www.courtlistener.com/docket/72160461/padilla-ventura-v-rose/#entry-13"" target=""_blank"">🔗</a>"
<b>Claria Horn Boom</b>,"<b><span style=""color:#FD892F;"">Against</span></b>","KYED, KYWD","<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.kywd.140874/gov.uscourts.kywd.140874.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Cristian Stevens</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",MOED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.moed.224909/gov.uscourts.moed.224909.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Damon Leichty</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INND,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.innd.124845/gov.uscourts.innd.124845.16.0.pdf"" target=""_blank"">🔗</a>"
<b>Daniel Traynor</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",ND,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.230871/gov.uscourts.mnd.230871.7.0.pdf"" target=""_blank"">🔗</a>"
<b>David Joseph</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",LAWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.lawd.213869/gov.uscourts.lawd.213869.17.0.pdf"" target=""_blank"">🔗</a>"
<b>David Novak</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",VAED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.vaed.581906/gov.uscourts.vaed.581906.19.0.pdf"" target=""_blank"">🔗</a>"
<b>Dominic Lanza</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",AZ,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""http://storage.courtlistener.com/recap/gov.uscourts.azd.1457044/gov.uscourts.azd.1457044.13.0.pdf"" target=""_blank"">🔗</a>"
<b>Eric Komitee</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",NYED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nyed.537845/gov.uscourts.nyed.537845.20.0.pdf"" target=""_blank"">🔗</a>"
<b>Eric Tostrud</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MN,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.mnd.226822/gov.uscourts.mnd.226822.24.0.pdf"" target=""_blank"">🔗</a>"
<b>Fernando Aenlle-Rocha</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",CACD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.cacd.986394/gov.uscourts.cacd.986394.12.0.pdf"" target=""_blank"">🔗</a>"
<b>Fernando Rodriguez Jr.</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXSD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txsd.2043412/gov.uscourts.txsd.2043412.17.0.pdf"" target=""_blank"">🔗</a>"
<b>Hala Jarbou</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",MIWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.miwd.117310/gov.uscourts.miwd.117310.7.0.pdf"" target=""_blank"">🔗</a>"
<b>J.P. Hanlon</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.224910/gov.uscourts.insd.224910.19.0.pdf"" target=""_blank"">🔗</a>"
<b>James Hendrix</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",TXND,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txnd.412090/gov.uscourts.txnd.412090.6.0.pdf"" target=""_blank"">🔗</a>"
<b>James Sweeney II</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",INSD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.insd.225553/gov.uscourts.insd.225553.11.0.pdf"" target=""_blank"">🔗</a>"
<b>Jason Pulliam</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",TXWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.txwd.1172854223/gov.uscourts.txwd.1172854223.13.0_2.pdf"" target=""_blank"">🔗</a>"
<b>Jodi Dishman</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",OKWD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.okwd.133032/gov.uscourts.okwd.133032.15.0_1.pdf"" target=""_blank"">🔗</a>"
<b>John Cronan</b>,"<b><span style=""color:#2FC0B7;"">For</span></b>",NYSD,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.653406/gov.uscourts.nysd.653406.13.0.pdf"" target=""_blank"">🔗</a>"
<b>John Gallagher</b>,"<b><span style=""color:#FD892F;"">Against</span></b>",PAED,"<span style=""color:#f05d45;"">Donald Trump</span>","<a href=""https://storage.courtlistener.com/recap/gov.uscourts.paed.644987/gov.uscourts.paed.644987.13.0.pdf"" target=""_blank"">🔗</a>"
